,filename,P_in,P_rec,N_cal,seed,loss,mean_hem1_ipsi,mean_hem1_contra,mean_hem2_ipsi,mean_hem2_contra,var_hem1_ipsi,var_hem1_contra,var_hem2_ipsi,var_hem2_contra,max_hem1_ipsi,max_hem1_contra,max_hem2_ipsi,max_hem2_contra,nb_hem1_ipsi_pref,nb_hem2_ipsi_pref
100,IpsiContra_In10_Rec02_Col10_s0.npz,1.0,0.2,10,0,0.011509994976222515,0.018710872158408165,-0.04350313916802406,-0.04267527535557747,-0.062179308384656906,0.21622005105018616,0.2092643827199936,0.11408431082963943,0.3991146981716156,0.7499179840087891,0.7950983643531799,0.24652469158172607,0.8095429539680481,12,7
101,IpsiContra_In10_Rec02_Col10_s1.npz,1.0,0.2,10,1,0.009342457167804241,-0.03432513028383255,-0.05716582387685776,-0.03416253998875618,0.04812156409025192,0.10231190919876099,0.15178492665290833,0.05802079290151596,0.1520412117242813,0.1624661087989807,0.32597726583480835,0.09875603765249252,0.5955715775489807,6,3
102,IpsiContra_In05_Rec05_Col20_s2.npz,0.5,0.5,20,2,0.015270933508872986,0.03598213195800781,-0.1607396900653839,-0.044953592121601105,0.09654758870601654,0.22110843658447266,0.2930946946144104,0.07325289398431778,0.2587633430957794,0.9645224809646606,0.9646166563034058,0.1358274519443512,0.6998946070671082,10,1
103,IpsiContra_In10_Rec05_Col10_s1.npz,1.0,0.5,10,1,0.01077208761125803,-0.053980063647031784,0.045782990753650665,-0.038171157240867615,0.012035178020596504,0.0680461972951889,0.19354727864265442,0.13479603826999664,0.1391407996416092,0.15772850811481476,0.4024235010147095,0.5672003030776978,0.3542013168334961,2,5
104,IpsiContra_In05_Rec02_Col20_s2.npz,0.5,0.2,20,2,0.01916668750345707,-0.09536930918693542,-0.050489913672208786,-0.08309422433376312,0.007397090084850788,0.20775233209133148,0.19240963459014893,0.06621920317411423,0.2310745269060135,0.3456532657146454,0.4957667589187622,0.09011520445346832,0.5658937692642212,11,4
105,IpsiContra_In10_Rec10_Col10_s0.npz,1.0,1.0,10,0,0.010386406444013119,-0.09772433340549469,-0.016815701499581337,-0.32262730598449707,-0.1909780204296112,0.10696076601743698,0.2175762951374054,0.25920528173446655,0.8738439679145813,0.1698809117078781,0.6928982734680176,0.42501556873321533,2.336672782897949,3,1
106,IpsiContra_In07_Rec07_Col30_s2.npz,0.7,0.7,30,2,0.017186008393764496,-0.09866337478160858,-0.2182493656873703,-0.09007492661476135,-0.08944684267044067,0.03730400279164314,0.4062851667404175,0.339284211397171,0.13822263479232788,-0.011399578303098679,1.5970067977905273,1.03559148311615,0.2667359411716461,0,11
107,IpsiContra_In07_Rec07_Col30_s0.npz,0.7,0.7,30,0,0.010004841722548008,-0.15139779448509216,-0.056592367589473724,-0.14550016820430756,-0.12496558576822281,0.14050725102424622,0.19255489110946655,0.07334894686937332,0.16603685915470123,0.2402561604976654,0.6098989844322205,0.008316884748637676,0.44747602939605713,1,2
108,IpsiContra_In10_Rec10_Col10_s2.npz,1.0,1.0,10,2,0.015047491528093815,-0.06464415788650513,0.006049687974154949,-0.03710136562585831,-0.08529770374298096,0.042751699686050415,0.29534056782722473,0.22673878073692322,0.16940490901470184,0.10684864223003387,0.938031017780304,0.5443553924560547,0.3362989127635956,1,10
109,IpsiContra_In05_Rec10_Col20_s1.npz,0.5,1.0,20,1,0.011515365913510323,-0.13808564841747284,-0.1306741088628769,-0.11185035854578018,-0.029167059808969498,0.10083039104938507,0.23967978358268738,0.05533534288406372,0.1595926582813263,0.07475153356790543,0.5235401391983032,-0.0014715696452185512,0.46940577030181885,1,0
110,IpsiContra_In05_Rec02_Col20_s0.npz,0.5,0.2,20,0,0.012015813030302525,-0.04264453798532486,-0.06402947008609772,-0.0572766438126564,-0.06301970779895782,0.13216643035411835,0.4025596082210541,0.13011278212070465,0.3291361927986145,0.3667427897453308,1.154199242591858,0.2965814471244812,0.8169140815734863,6,6
111,IpsiContra_In10_Rec07_Col40_s1.npz,1.0,0.7,40,1,0.011852281168103218,-0.12225840240716934,-0.07023875415325165,-0.12681055068969727,-0.056329239159822464,0.07888644933700562,0.2042361944913864,0.06539689004421234,0.19688934087753296,0.12481136620044708,0.4002314805984497,0.0948190912604332,0.45857667922973633,1,0
112,IpsiContra_In05_Rec05_Col20_s0.npz,0.5,0.5,20,0,0.010661850683391094,-0.16388927400112152,-0.06284432113170624,-0.040100544691085815,-0.06808289885520935,0.19639576971530914,0.5859761834144592,0.1526893675327301,0.26819634437561035,0.4649782180786133,1.8107184171676636,0.3819940686225891,0.8423941135406494,2,5
113,IpsiContra_In10_Rec02_Col10_s2.npz,1.0,0.2,10,2,0.01631755568087101,-0.039362456649541855,-0.040730200707912445,0.029957527294754982,-0.11240987479686737,0.04093514755368233,0.3015764057636261,0.19438423216342926,0.3161812424659729,0.06969886273145676,0.6436658501625061,0.6211850047111511,0.8492299914360046,3,12
114,IpsiContra_In05_Rec05_Col20_s1.npz,0.5,0.5,20,1,0.0088721988722682,-0.10512210428714752,-0.007734877057373524,-0.10643947124481201,-0.010585347190499306,0.10687946528196335,0.32775959372520447,0.08707749843597412,0.15685541927814484,0.14112167060375214,1.260613203048706,0.06356482952833176,0.38112571835517883,5,4
115,IpsiContra_In10_Rec05_Col10_s2.npz,1.0,0.5,10,2,0.01774621568620205,-0.05801490694284439,0.026645904406905174,-0.06669646501541138,-0.2396714687347412,0.15922507643699646,0.642521858215332,0.2895258963108063,0.4225398898124695,0.45158371329307556,2.1249215602874756,0.7903414368629456,0.9104293584823608,0,8
116,IpsiContra_In10_Rec07_Col40_s0.npz,1.0,0.7,40,0,0.010297514498233795,-0.22635498642921448,0.017385926097631454,-0.26057425141334534,-0.10842951387166977,0.23870155215263367,0.30411237478256226,0.14864128828048706,0.28615859150886536,0.6250942945480347,1.4000457525253296,0.2756027579307556,0.7039761543273926,1,1
117,IpsiContra_In05_Rec02_Col20_s1.npz,0.5,0.2,20,1,0.011096264235675335,-0.08521240949630737,-0.005231364164501429,-0.12378975003957748,-0.055087149143218994,0.11446600407361984,0.24629320204257965,0.2004106342792511,0.23580102622509003,0.1313227117061615,0.7953152060508728,0.3071352541446686,0.6050415635108948,5,2
118,IpsiContra_In05_Rec10_Col20_s0.npz,0.5,1.0,20,0,0.01038218755275011,-0.21588799357414246,-0.17030557990074158,-0.10696600377559662,-0.16198650002479553,0.19554080069065094,0.20690016448497772,0.10579521209001541,0.20214222371578217,0.43901050090789795,0.6314950585365295,0.31128716468811035,0.5056837201118469,2,4
119,IpsiContra_In07_Rec07_Col30_s1.npz,0.7,0.7,30,1,0.00908583588898182,-0.40254297852516174,-0.25253531336784363,-0.14125710725784302,-0.13475750386714935,0.7804624438285828,0.3570857346057892,0.07980986684560776,0.25800782442092896,2.249455451965332,0.7172231674194336,0.025303589180111885,0.5103573203086853,6,1
120,IpsiContra_In02_Rec10_Col40_s1.npz,0.2,1.0,40,1,0.015770990401506424,-0.054761845618486404,-0.1596234291791916,0.0020735375583171844,-0.13318045437335968,0.03425556793808937,0.14342767000198364,0.1046307310461998,0.13094604015350342,0.019504670053720474,0.1261606514453888,0.2583988308906555,0.19730651378631592,3,12
121,IpsiContra_In05_Rec10_Col30_s1.npz,0.5,1.0,30,1,0.02095112018287182,-0.17311081290245056,-0.17604593932628632,-0.18186786770820618,-0.03156173229217529,0.26415348052978516,0.232655331492424,0.07753153145313263,0.17655156552791595,0.8791379332542419,0.5528099536895752,-0.056079085916280746,0.496290922164917,4,0
122,IpsiContra_In07_Rec07_Col20_s0.npz,0.7,0.7,20,0,0.009985397569835186,-0.23120251297950745,-0.14063839614391327,-0.13230538368225098,-0.3224863111972809,0.2860979735851288,0.23758623003959656,0.09563542157411575,0.46921759843826294,0.5868253707885742,0.562486469745636,0.07973895967006683,1.2851614952087402,2,4
123,IpsiContra_In02_Rec05_Col40_s0.npz,0.2,0.5,40,0,0.011006356216967106,-0.18416528403759003,-0.13796038925647736,-0.13401998579502106,0.024246346205472946,0.25798162817955017,0.3408936858177185,0.20483136177062988,0.2763006389141083,0.31003323197364807,0.943457841873169,0.6338505148887634,0.8543786406517029,4,2
124,IpsiContra_In05_Rec05_Col30_s0.npz,0.5,0.5,30,0,0.009977966547012329,-0.1211935505270958,-0.0718771293759346,-0.07000125199556351,-0.12312696874141693,0.12086192518472672,0.36433646082878113,0.23778797686100006,0.3190670609474182,0.178633451461792,1.165287971496582,0.8500455617904663,0.7707281708717346,5,7
